gid,wardId,wardName,countyName,authoritativeSubcountyName,authoritativeScuid,databaseSubCountyId,databaseSubCountyName,databaseCountyId,databaseCountyName,status,detail
1566,1087,Mfangano Island Ward,Homa Bay,Mbita Sub County,,273,Mbita Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1567,1088,Rusinga Island Ward,Homa Bay,Mbita Sub County,,273,Mbita Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1568,1089,Kasgunga Ward,Homa Bay,Mbita Sub County,,273,Mbita Sub County,51,Homa Bay,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1579,1090,Chavakali Ward,Vihiga,Sabatia Sub County,,1508,Sabatia,52,Vihiga,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1582,1091,Busali Ward,Vihiga,Sabatia Sub County,,1508,Sabatia,52,Vihiga,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1583,1092,Shiru Ward,Vihiga,Hamisi Sub County,,1510,Hamisi,52,Vihiga,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1584,1093,Gisambai Ward,Vihiga,Hamisi Sub County,,1510,Hamisi,52,Vihiga,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1585,1094,Muhudu Ward,Vihiga,Hamisi Sub County,,1510,Hamisi,52,Vihiga,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1586,1095,Tambua Ward,Vihiga,Hamisi Sub County,,1510,Hamisi,52,Vihiga,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1587,1096,Jepkoyai Ward,Vihiga,Hamisi Sub County,,1510,Hamisi,52,Vihiga,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1591,1097,Luanda South Ward,Vihiga,Luanda Sub County,,1509,Luanda,52,Vihiga,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1593,1098,North East Bunyore Ward,Vihiga,Emuhaya Sub County,,1506,Emuhaya,52,Vihiga,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1596,1099,Banja Ward,Vihiga,Hamisi Sub County,,1510,Hamisi,52,Vihiga,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1597,1100,South Maragoli Ward,Vihiga,Vihiga Sub County,,1507,Vihiga,52,Vihiga,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1598,1101,Shamakhokho Ward,Vihiga,Hamisi Sub County,,1510,Hamisi,52,Vihiga,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1600,1102,Cheptais Ward,Bungoma,Cheptais Sub County,,1516,Cheptais,53,Bungoma,WRONG_SUBCOUNTY,Ward subCountyId does not match the authoritative canonical subcounty target.
1603,1103,Kakateny Ward,Bungoma,Cheptais Sub County,,1516,Cheptais,53,Bungoma,WRONG_SUBCOUNTY,Ward subCountyId does not match the authoritative canonical subcounty target.
1604,1104,Kaptama Ward,Bungoma,Mt Elgon Sub County,,280,Mt Elgon Sub County,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1607,1105,Malakisi/south Kulisiru Ward,Bungoma,Sirisia Sub County,,281,Sirisia Sub County,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1608,1106,Lwandanyi Ward,Bungoma,Sirisia Sub County,,281,Sirisia Sub County,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1610,1107,West Nalondo Ward,Bungoma,Kabuchai Sub County,,282,Kabuchai Sub County,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1612,1108,Mukuyuni Ward,Bungoma,Kabuchai Sub County,,282,Kabuchai Sub County,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1616,1109,Kabula  Ward,Bungoma,Bumula Sub County,,1511,Bumula,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1617,1110,Kimaeti Ward,Bungoma,Bumula Sub County,,1511,Bumula,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1619,1111,Siboti Ward,Bungoma,Bumula Sub County,,1511,Bumula,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1620,1112,Bukembe West Ward,Bungoma,Kanduyi Sub County,,284,Kanduyi Sub County,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1621,1113,Bukembe East Ward,Bungoma,Kanduyi Sub County,,284,Kanduyi Sub County,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1634,1114,Bokoli Ward,Bungoma,Webuye West Sub County,,1520,Webuye West,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1635,1115,Kibingei Ward,Bungoma,Kimilili Sub County,,1517,Kimilili,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
1636,1116,Kimilili Ward,Bungoma,Kimilili Sub County,,1517,Kimilili,53,Bungoma,CORRECT,Database county and canonical subcounty ownership match the authoritative source.
