countyId,countyName,currentSubCountyId,currentSubCountyName,wards,authoritativeSubCountyNames,authoritativeWardCount,canonicalTargetId,canonicalTargetName,classification,reason,farmers,farms,businessPartners,destinationTransactions,sourceTransactions
73,Kilifi,478,Ganze Sub County,4,Ganze Sub County,4,478,Ganze Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
73,Kilifi,479,Malindi Sub County,5,Malindi Sub County,5,479,Malindi Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
73,Kilifi,480,Magarini Sub County,6,Magarini Sub County,6,480,Magarini Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
75,Kirinyaga,378,Kirinyaga North/Mwea West Sub County,4,Kirinyaga North/Mwea West Sub County,4,378,Kirinyaga North/Mwea West Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
75,Kirinyaga,379,Kirinyaga South Sub County,4,Kirinyaga South Sub County,4,379,Kirinyaga South Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
75,Kirinyaga,380,Kirinyaga East Sub County,5,Kirinyaga East Sub County,5,380,Kirinyaga East Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
75,Kirinyaga,381,Kirinyaga West Sub County,3,Kirinyaga West Sub County,3,381,Kirinyaga West Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
75,Kirinyaga,403,Kirinyaga Central Sub County,4,Kirinyaga Central Sub County,4,403,Kirinyaga Central Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
87,Kisii,450,Bomachoge Borabu Sub County,4,Bomachoge Borabu Sub County,4,450,Bomachoge Borabu Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
87,Kisii,485,Kitutu Chache South Sub County,5,Kitutu Chache South Sub County,5,485,Kitutu Chache South Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
87,Kisii,503,Bonchari  Sub County,4,Bonchari  Sub County,4,503,Bonchari  Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
87,Kisii,504,South Mugirango Sub County,6,South Mugirango Sub County,6,504,South Mugirango Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
87,Kisii,505,Bobasi Sub County,8,Bobasi Sub County,8,505,Bobasi Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
87,Kisii,506,Bomachoge Chache Sub County,3,Bomachoge Chache Sub County,3,506,Bomachoge Chache Sub County,ALREADY_CANONICAL,CURRENT_SUBCOUNTY_MATCHES_AUTHORITATIVE_SUBCOUNTY,0,0,0,0,0
