gid,authoritativeCounty,authoritativeSubCounty,authoritativeWard,normalizedCounty,normalizedSubCounty,actualWardId,actualCountyId,actualCountyName,actualSubCountyId,actualSubCountyName,candidateCountyIds,candidateSubCountyIds,candidateSubCountyNames,status,reason
921,KAJIADO,Kajiado East Sub County,Kaputiei north Ward,kajiado,kajiadoeast,1867,92,Kajiado,469,Kajiado East Sub County,92,469,Kajiado East Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
922,KAJIADO,Kajiado East Sub County,Kitengela Ward,kajiado,kajiadoeast,1868,92,Kajiado,469,Kajiado East Sub County,92,469,Kajiado East Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
923,KAJIADO,Kajiado East Sub County,Oloosirkon/sholinke Ward,kajiado,kajiadoeast,1869,92,Kajiado,469,Kajiado East Sub County,92,469,Kajiado East Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
924,KAJIADO,Kajiado East Sub County,Kenyawa-poka Ward,kajiado,kajiadoeast,1870,92,Kajiado,469,Kajiado East Sub County,92,469,Kajiado East Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
925,KAJIADO,Kajiado East Sub County,Imaroro Ward,kajiado,kajiadoeast,1871,92,Kajiado,469,Kajiado East Sub County,92,469,Kajiado East Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
926,KAJIADO,Kajiado West Sub County,Keekonyokie Ward,kajiado,kajiadowest,1872,92,Kajiado,1479,Kajiado West,92,1479,Kajiado West,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
1912,Kisumu,Kisumu East Sub County,Manyatta B Ward,kisumu,kisumueast,1873,93,Kisumu,1535,Kisumu East,93,1535,Kisumu East,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
943,KERICHO,Kipkelion West Sub County,Chilchila Ward,kericho,kipkelionwest,1874,56,Kericho,472,Kipkelion West Sub County,56,472,Kipkelion West Sub County,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
944,KERICHO,Ainamoi Sub County,Kapsoit Ward,kericho,ainamoi,1875,56,Kericho,295,AINAMOI,56,295,AINAMOI,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
945,KERICHO,Ainamoi Sub County,Ainamoi Ward,kericho,ainamoi,1876,56,Kericho,295,AINAMOI,56,295,AINAMOI,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
946,KERICHO,Ainamoi Sub County,Kapkugerwet Ward,kericho,ainamoi,1877,56,Kericho,295,AINAMOI,56,295,AINAMOI,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
947,KERICHO,Ainamoi Sub County,Kipchebor Ward,kericho,ainamoi,1878,56,Kericho,295,AINAMOI,56,295,AINAMOI,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
948,KERICHO,Ainamoi Sub County,Kipchimchim Ward,kericho,ainamoi,1879,56,Kericho,295,AINAMOI,56,295,AINAMOI,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
949,KERICHO,Ainamoi Sub County,Kapsaos Ward,kericho,ainamoi,1880,56,Kericho,295,AINAMOI,56,295,AINAMOI,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
950,KERICHO,Bureti Sub County,Kisiara Ward,kericho,bureti,1881,56,Kericho,1483,Bureti,56,1483,Bureti,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
951,KERICHO,Bureti Sub County,Tebesonik Ward,kericho,bureti,1882,56,Kericho,1483,Bureti,56,1483,Bureti,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
952,KERICHO,Bureti Sub County,Cheboin Ward,kericho,bureti,1883,56,Kericho,1483,Bureti,56,1483,Bureti,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
953,KERICHO,Bureti Sub County,Chemosot Ward,kericho,bureti,1884,56,Kericho,1483,Bureti,56,1483,Bureti,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
954,KERICHO,Bureti Sub County,Litein Ward,kericho,bureti,1885,56,Kericho,1483,Bureti,56,1483,Bureti,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
955,KERICHO,Bureti Sub County,Cheplanget Ward,kericho,bureti,1886,56,Kericho,1483,Bureti,56,1483,Bureti,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
957,KERICHO,Belgut Sub County,Waldai Ward,kericho,belgut,1887,56,Kericho,1482,Belgut,56,1482,Belgut,EXACT_MATCH,sourceGID located the Ward and its County/SubCounty relationships match the unique normalized authoritative identity.
