sourceGid,wardName,authoritativeCountyName,authoritativeSubcountyName,authoritativeScuid,authoritativeCountyId,authoritativeSubcountyId,databaseWardId,databaseWardName,databaseCountyId,databaseCountyName,databaseSubcountyId,databaseSubcountyName,status,resolutionType,notes
1538,East Kamagak Ward,Homa Bay,Kasipul Sub County,NhsAMiaS0TD,51,267,1066,East Kamagak Ward,51,Homa Bay,267,Kasipul Sub County,CORRECT,EXACT,
1539,West Kamagak Ward,Homa Bay,Kasipul Sub County,NhsAMiaS0TD,51,267,1067,West Kamagak Ward,51,Homa Bay,267,Kasipul Sub County,CORRECT,EXACT,
1540,Kabondo East Ward,Homa Bay,Kabondo Kasipul Sub County,BzFBYZhF5fx,51,268,1068,Kabondo East Ward,51,Homa Bay,268,Kabondo Kasipul Sub County,CORRECT,EXACT,
1541,Kabondo West Ward,Homa Bay,Kabondo Kasipul Sub County,BzFBYZhF5fx,51,268,1069,Kabondo West Ward,51,Homa Bay,268,Kabondo Kasipul Sub County,CORRECT,EXACT,
1542,Kokwanyo/kakelo Ward,Homa Bay,Kabondo Kasipul Sub County,BzFBYZhF5fx,51,268,1070,Kokwanyo/kakelo Ward,51,Homa Bay,268,Kabondo Kasipul Sub County,CORRECT,EXACT,
1543,Kojwach Ward,Homa Bay,Kabondo Kasipul Sub County,BzFBYZhF5fx,51,268,1071,Kojwach Ward,51,Homa Bay,268,Kabondo Kasipul Sub County,CORRECT,EXACT,
1544,West Karachuonyo Ward,Homa Bay,Karachuonyo Sub County,fmsyW02tPng,51,269,1072,West Karachuonyo Ward,51,Homa Bay,269,Karachuonyo Sub County,CORRECT,EXACT,
1545,North Karachuonyo Ward,Homa Bay,Karachuonyo Sub County,fmsyW02tPng,51,269,1073,North Karachuonyo Ward,51,Homa Bay,269,Karachuonyo Sub County,CORRECT,EXACT,
1546,Central Ward,Homa Bay,Karachuonyo Sub County,fmsyW02tPng,51,269,1074,Central Ward,51,Homa Bay,269,Karachuonyo Sub County,CORRECT,EXACT,
1547,Kanyaluo Ward,Homa Bay,Karachuonyo Sub County,fmsyW02tPng,51,269,1075,Kanyaluo Ward,51,Homa Bay,269,Karachuonyo Sub County,CORRECT,EXACT,
1553,Kagan Ward,Homa Bay,Rangwe Sub County,iK2Jk2AxhlD,51,1545,1076,Kagan Ward,51,Homa Bay,1545,Rangwe,CORRECT,NORMALIZED,
1554,Kochia Ward,Homa Bay,Rangwe Sub County,iK2Jk2AxhlD,51,1545,1077,Kochia Ward,51,Homa Bay,1545,Rangwe,CORRECT,NORMALIZED,
1555,Homa Bay Central Ward,Homa Bay,Homa Bay Town Sub County,Ur2xRBDtazT,51,271,1078,Homa Bay Central Ward,51,Homa Bay,271,Homa Bay Town Sub County,CORRECT,EXACT,
1556,Homa Bay Arujo Ward,Homa Bay,Homa Bay Town Sub County,Ur2xRBDtazT,51,271,1079,Homa Bay Arujo Ward,51,Homa Bay,271,Homa Bay Town Sub County,CORRECT,EXACT,
1558,Homa Bay East Ward,Homa Bay,Homa Bay Town Sub County,Ur2xRBDtazT,51,271,1080,Homa Bay East Ward,51,Homa Bay,271,Homa Bay Town Sub County,CORRECT,EXACT,
1559,Kwabwai Ward,Homa Bay,Ndhiwa Sub County,i2Y2fyNoFyZ,51,1541,1081,Kwabwai Ward,51,Homa Bay,1541,Ndhiwa,CORRECT,NORMALIZED,
1560,Kanyadoto Ward,Homa Bay,Ndhiwa Sub County,i2Y2fyNoFyZ,51,1541,1082,Kanyadoto Ward,51,Homa Bay,1541,Ndhiwa,CORRECT,NORMALIZED,
1561,Kanyikela Ward,Homa Bay,Ndhiwa Sub County,i2Y2fyNoFyZ,51,1541,1083,Kanyikela Ward,51,Homa Bay,1541,Ndhiwa,CORRECT,NORMALIZED,
1562,Kabouch North Ward,Homa Bay,Ndhiwa Sub County,i2Y2fyNoFyZ,51,1541,1084,Kabouch North Ward,51,Homa Bay,1541,Ndhiwa,CORRECT,NORMALIZED,
1563,Kabuoch South/pala Ward,Homa Bay,Ndhiwa Sub County,i2Y2fyNoFyZ,51,1541,1085,Kabuoch South/pala Ward,51,Homa Bay,1541,Ndhiwa,CORRECT,NORMALIZED,
1565,Kanyamwa Kosewe Ward,Homa Bay,Ndhiwa Sub County,i2Y2fyNoFyZ,51,1541,1086,Kanyamwa Kosewe Ward,51,Homa Bay,1541,Ndhiwa,CORRECT,NORMALIZED,
1566,Mfangano Island Ward,Homa Bay,Mbita Sub County,mCGytMcMf6y,51,273,1087,Mfangano Island Ward,51,Homa Bay,273,Mbita Sub County,CORRECT,EXACT,
1567,Rusinga Island Ward,Homa Bay,Mbita Sub County,mCGytMcMf6y,51,273,1088,Rusinga Island Ward,51,Homa Bay,273,Mbita Sub County,CORRECT,EXACT,
1568,Kasgunga Ward,Homa Bay,Mbita Sub County,mCGytMcMf6y,51,273,1089,Kasgunga Ward,51,Homa Bay,273,Mbita Sub County,CORRECT,EXACT,
1579,Chavakali Ward,Vihiga,Sabatia Sub County,urtJSF5jcBC,52,1508,1090,Chavakali Ward,52,Vihiga,1508,Sabatia,CORRECT,NORMALIZED,
